term,old_count,new_count,growth
party,0,45,867520.0
gemma,0,24,462677.4
gap,0,23,443399.1
blah,0,23,443399.1
lnkd,1,140,107.1
leak,2,79,30.2
cache,2,50,19.1
polymarket,1,24,18.4
april,1,23,17.6
emotion,1,23,17.6
stars,1,22,16.8
leaked,4,84,16.1
openclaw,6,94,12.0
npm,2,27,10.3
bot,3,39,9.9
march,2,24,9.2
site,2,22,8.4
behavior,3,33,8.4
accidentally,3,32,8.2
subscriptions,4,40,7.7
layer,5,39,6.0
internal,6,44,5.6
fluency,4,27,5.2
attention,5,34,5.2
return,4,23,4.4
map,4,23,4.4
cli,7,39,4.3
session,14,75,4.1
win,5,26,4.0
extra,7,37,4.0
