keyword,rows,avg_engagement,median_engagement,total_engagement
code,518,2938.1988416988415,216.0,1521987
chatgpt,393,4400.053435114503,28.0,1729221
coding,261,3231.1111111111113,242.0,843320
time,216,56054.65740740741,115.0,12107806
better,199,2371.4924623115576,45.0,471927
vs,180,1821.9,24.0,327942
context,150,4480.74,85.0,672111
api,124,1625.75,63.5,201593
gpt,116,4720.818965517241,20.5,547615
workflow,116,2380.456896551724,144.5,276133
save,109,8581.08256880734,259.0,935338
hours,100,1934.87,122.0,193487
reasoning,84,5360.511904761905,48.0,450283
faster,80,3010.5375,67.5,240843
developers,76,2184.7763157894738,46.5,166043
productivity,76,1080.092105263158,46.0,82087
cost,67,1565.3432835820895,44.0,104878
developer,45,2020.8222222222223,28.0,90937
comparison,40,86.0,13.0,3440
switch,39,6068.25641025641,111.0,236662
review,38,2054.4736842105262,56.0,78070
switched,34,1368.5882352941176,86.0,46532
enterprise,29,1441.4827586206898,134.0,41803
safety,29,506.62068965517244,5.0,14692
trust,28,5759.285714285715,53.0,161260
tutorial,22,5376.772727272727,1777.0,118289
compare,21,359.57142857142856,40.0,7551
safe,13,8041.461538461538,105.0,104539
saved,9,859.8888888888889,44.0,7739
roi,0,0.0,0.0,0
