term,tfidf_score
code,0.07423
https,0.06052
sonnet,0.04591
opus,0.04386
one,0.0368
model,0.03492
now,0.03466
free,0.03257
coding,0.03209
better,0.02772
tools,0.02702
new,0.02565
people,0.02506
get,0.02469
claudeai,0.0246
gemini,0.02448
real,0.02419
work,0.02414
which,0.02354
full,0.02237
models,0.02203
prompt,0.02176
openai,0.02168
time,0.02092
actually,0.02082
build,0.02075
tool,0.02017
every,0.01971
best,0.01961
comment,0.01918
prompts,0.01907
source,0.01905
video,0.01874
don,0.01869
artificialintelligence,0.0186
usage,0.01826
agent,0.01777
still,0.01771
pro,0.01759
same,0.01754
com,0.01726
know,0.01696
data,0.01692
api,0.0169
built,0.01666
context,0.01663
tasks,0.01636
aitools,0.01585
need,0.01578
openclaw,0.01569
